address,name,class,id
https://www.techbook.de/newsletter,inp_3,,
https://snacks.robinhood.com/,,css-r92b85,
https://www.myhomebook.de/newsletter,inp_3,,
https://www.morningbrew.com/,,,subscription-email-form-input
https://nextdraft.com/,,,mce-EMAIL
https://moz.com/moztop10#confirmation,,,email-379ffa8c-772e-4b7b-9c22-47d60e0db419
https://www.goodgoodgood.co/goodnewsletter,,,email-yui_3_17_2_1_1571349321473_20263-field
https://www.ben-evans.com/newsletter/,,,email-yui_3_17_2_1_1583195868944_7710-field
http://wpmail.me/,,,mce-EMAIL
https://www.tldrnewsletter.com/,,,email
https://sidebar.io/,,,frc-email-1088
https://www.sba.gov/updates,,,newsletter-email-address
http://nowiknow.com/,,,mce-EMAIL
https://digg.com/subscribe,,,fieldEmail
https://www.theskimm.com/,,Input_input__1xqWY,
http://theli.st/,EMAIL,,
https://www.codeinwp.com/newsletter/,,,email
https://www.walmart.com/,,,hf-email-input
https://www.ben-evans.com/newsletter/,,,email-yui_3_17_2_1_1583195868944_7710-field
https://wpmail.me/,,,mce-EMAIL


